iteration,temps_calcul,temps_affichage,temps_iteration,longueur,discretisation,vent,start,nombre_de_processus,nombre_de_coeurs,accel_global,accel_temp
608,0.0010356903076171,0.0,25.001909099984918,1,100,"(1, 1)","(37, 37)",4,3,1.7244558936516936,0.0
672,0.0,0.0,18.655216000042856,1,100,"(1, 1)","(37, 37)",6,5,2.3111332240759825,
672,0.0,0.0,16.702259899990167,1,100,"(1, 1)","(37, 37)",8,7,2.5813686146770043,
608,0.0,0.0,43.168582499958575,1,100,"(1, 1)","(50, 50)",1,1,1.0,
608,0.0,0.0,50.40930930001196,1,100,"(1, 1)","(50, 50)",2,1,0.8563613169750043,
608,0.0,0.0,24.60076280002249,1,100,"(1, 1)","(50, 50)",4,3,1.7547660148131305,
608,0.0,0.0,18.32010380004067,1,100,"(1, 1)","(50, 50)",6,5,2.356350322636422,
608,0.0,0.0009996891021728,16.62622699997155,1,100,"(1, 1)","(50, 50)",8,7,2.5964148390390944,
704,0.0,0.0,44.742119700007606,1,100,"(2, 3)","(1, 50)",1,1,1.0,
704,0.0,0.0,51.06931990000885,1,100,"(2, 3)","(1, 50)",2,1,0.8761056498815809,
704,0.0,0.0,28.43747230002191,1,100,"(2, 3)","(1, 50)",4,3,1.5733507967222928,
704,0.0,0.0,20.17821569996886,1,100,"(2, 3)","(1, 50)",6,5,2.217347676587512,
704,0.0,0.0,18.129192600026727,1,100,"(2, 3)","(1, 50)",8,7,2.467959863802299,
704,0.0,0.0,43.45651499996893,1,100,"(2, 3)","(15, 10)",1,1,1.0,
704,0.0,0.0,50.647730899974704,1,100,"(2, 3)","(15, 10)",2,1,0.8580150428810353,
704,0.0,0.0,26.56653269997332,1,100,"(2, 3)","(15, 10)",4,3,1.6357616362940948,
704,0.0,0.0,19.533410200034268,1,100,"(2, 3)","(15, 10)",6,5,2.2247275081487152,
704,0.0,0.0,17.297328800021205,1,100,"(2, 3)","(15, 10)",8,7,2.512325197860357,
672,0.0,0.0,42.98703349998687,1,100,"(2, 3)","(37, 37)",1,1,1.0,
672,0.0010023117065429,0.0,51.100952100008726,1,100,"(2, 3)","(37, 37)",2,1,0.841217858639067,0.0
672,0.0,0.0,25.37843260000227,1,100,"(2, 3)","(37, 37)",4,3,1.6938411515604406,
672,0.0010039806365966,0.0,18.73976580001181,1,100,"(2, 3)","(37, 37)",6,5,2.2938938489807477,0.0
672,0.0,0.0,16.622482200036757,1,100,"(2, 3)","(37, 37)",8,7,2.586077878302184,
608,0.0,0.0,43.20497510000132,1,100,"(2, 3)","(50, 50)",1,1,1.0,
608,0.0,0.0,50.55348290002439,1,100,"(2, 3)","(50, 50)",2,1,0.8546389412069663,
608,0.0,0.0,24.703167900035623,1,100,"(2, 3)","(50, 50)",4,3,1.7489649616938003,
608,0.0010023117065429,0.0,18.287080899986904,1,100,"(2, 3)","(50, 50)",6,5,2.3625955031473755,0.0
608,0.0011432170867919,0.0,16.74262199999066,1,100,"(2, 3)","(50, 50)",8,7,2.580538167798653,0.0
672,0.0,0.0,24.976101499982175,5,75,"(1, 1)","(1, 50)",1,1,1.0,
672,0.0,0.0,29.190616599982604,5,75,"(1, 1)","(1, 50)",2,1,0.8556208949692778,
672,0.0,0.0,15.226816699956544,5,75,"(1, 1)","(1, 50)",4,3,1.6402707139735553,
672,0.0,0.0,10.398762500029989,5,75,"(1, 1)","(1, 50)",6,5,2.4018340162985883,
672,0.0,0.0,10.200347200036047,5,75,"(1, 1)","(1, 50)",8,7,2.4485540550907827,
672,0.0,0.0,25.257123399991546,5,75,"(1, 1)","(15, 10)",1,1,1.0,
672,0.0,0.0,29.46959609998157,5,75,"(1, 1)","(15, 10)",2,1,0.8570569923761983,
672,0.0,0.0,14.393414199992549,5,75,"(1, 1)","(15, 10)",4,3,1.7547694417079043,
672,0.0,0.0,10.967345100012608,5,75,"(1, 1)","(15, 10)",6,5,2.3029386938834002,
672,0.0010035037994384,0.0,9.724533799977507,5,75,"(1, 1)","(15, 10)",8,7,2.5972580197160675,0.0
576,0.0,0.0,25.226716100005437,5,75,"(1, 1)","(37, 37)",1,1,1.0,
576,0.0,0.0,28.959965599991847,5,75,"(1, 1)","(37, 37)",2,1,0.8710892978413116,
608,0.0,0.0,13.276204399997368,5,75,"(1, 1)","(37, 37)",4,3,1.900145202646205,
576,0.0,0.0,9.565636900020763,5,75,"(1, 1)","(37, 37)",6,5,2.6372228387584604,
576,0.0,0.0010030269622802,9.381904200010467,5,75,"(1, 1)","(37, 37)",8,7,2.6888695047618683,
608,0.0,0.0,24.915580699977,5,75,"(1, 1)","(50, 50)",1,1,1.0,
